Слово,Количество,Процент из 261
sql,190,72.8
python,131,50.2
excel,126,48.3
power bi,97,37.2
метрик,68,26.1
mvp,57,21.8
витрин,54,20.7
etl,52,19.9
tableau,44,16.9
postgresql,44,16.9
статистик,41,15.7
power query,36,13.8
pandas,36,13.8
dwh,35,13.4
ad/hoc,34,13.0
ad-hoc,34,13.0
api,32,12.3
jenkins,27,10.3
clickhouse,26,10.0
superset,24,9.2
dax,21,8.0
airflow,20,7.7
git,20,7.7
numpy,19,7.3
power pivot,17,6.5
datalens,17,6.5
oracle,16,6.1
пайплайн,15,5.7
mysql,13,5.0
воронка,12,4.6
a/b-тест,12,4.6
big data,11,4.2
greenplum,11,4.2
docker,10,3.8
hadoop,10,3.8
ci/cd,9,3.4
mathplotlib,9,3.4
agile,8,3.1
grafana,7,2.7
c#,7,2.7
spark,7,2.7
data-driven,6,2.3
sklearn,5,1.9
java,5,1.9
dbt,5,1.9
kafka,5,1.9
sqlalchemy,4,1.5
metabase,4,1.5
pytorch,4,1.5
c++,3,1.1
kubernetes,3,1.1
eda,3,1.1
mongodb,3,1.1
rabbitmq,2,0.8
n8n,2,0.8
looker studio,2,0.8
seaborn,1,0.4
redis,1,0.4
prometheus,1,0.4
django,1,0.4
bash,1,0.4
ansible,1,0.4
terraform,0,0.0
